GROUP,SUBJECT,PHASE,TRIAL,TARGET,ROT,DIR,HA_INITIAL,HA_END,CA_END
0,1,Baseline,1,0,0,CCW,5.911760783,5.651001983,-5.651001983
0,1,Baseline,2,0,0,CCW,-1.87172986,-1.570634474,1.570634474
0,1,Baseline,3,0,0,CCW,-0.225343732,-0.348127232,0.348127232
0,1,Baseline,4,0,0,CCW,-0.259228922,0.043690763,-0.043690763
0,1,Baseline,5,0,0,CCW,-1.813050039,-1.769133023,1.769133023
0,1,Baseline,6,0,0,CCW,2.506683445,2.238664379,-2.238664379
0,1,Baseline,7,0,0,CCW,1.556540479,1.68973215,-1.68973215
0,1,Baseline,8,0,0,CCW,-2.623164861,-2.462860252,2.462860252
0,1,Baseline,9,0,0,CCW,-2.654136194,-2.962692811,2.962692811
0,1,Baseline,10,0,0,CCW,7.40921885,7.146729697,-7.146729697
0,2,Baseline,1,0,0,CCW,-3.534037095,-3.560237921,3.560237921
0,2,Baseline,2,0,0,CCW,2.172906417,2.598333782,-2.598333782
0,2,Baseline,3,0,0,CCW,3.163977596,3.299332027,-3.299332027
0,2,Baseline,4,0,0,CCW,2.337656406,2.26099424,-2.26099424
0,2,Baseline,5,0,0,CCW,4.080074758,3.525001218,-3.525001218
0,2,Baseline,6,0,0,CCW,2.487929412,3.240859086,-3.240859086
0,2,Baseline,7,0,0,CCW,-1.100311232,-1.500343486,1.500343486
0,2,Baseline,8,0,0,CCW,-3.219992582,-3.432854219,3.432854219
0,2,Baseline,9,0,0,CCW,-2.173738547,-2.778639963,2.778639963
0,2,Baseline,10,0,0,CCW,1.051157805,0.858212772,-0.858212772
0,3,Baseline,1,0,0,CCW,0.072590708,0.196791486,-0.196791486
0,3,Baseline,2,0,0,CCW,6.578063578,6.162268684,-6.162268684
0,3,Baseline,3,0,0,CCW,-3.05404758,-3.01906879,3.01906879
0,3,Baseline,4,0,0,CCW,-3.781491388,-3.439360037,3.439360037
0,3,Baseline,5,0,0,CCW,6.421926867,6.020523423,-6.020523423
0,3,Baseline,6,0,0,CCW,3.712413895,3.665013026,-3.665013026
0,3,Baseline,7,0,0,CCW,-3.150605809,-3.057365111,3.057365111
0,3,Baseline,8,0,0,CCW,2.399998582,2.478983603,-2.478983603
0,3,Baseline,9,0,0,CCW,1.585406516,1.895459727,-1.895459727
0,3,Baseline,10,0,0,CCW,9.824050977,9.421316877,-9.421316877
0,4,Baseline,1,0,0,CCW,2.117117723,2.718911149,-2.718911149
0,4,Baseline,2,0,0,CCW,5.315361645,5.070761662,-5.070761662
0,4,Baseline,3,0,0,CCW,3.54743753,3.353747382,-3.353747382
0,4,Baseline,4,0,0,CCW,6.158800958,6.063055375,-6.063055375
0,4,Baseline,5,0,0,CCW,0.676143806,0.430543539,-0.430543539
0,4,Baseline,6,0,0,CCW,-7.687151012,-7.075152884,7.075152884
0,4,Baseline,7,0,0,CCW,3.510947765,3.24887363,-3.24887363
0,4,Baseline,8,0,0,CCW,2.1175535,2.305470679,-2.305470679
0,4,Baseline,9,0,0,CCW,0.015078156,-0.252089673,0.252089673
0,4,Baseline,10,0,0,CCW,3.918074364,4.750245781,-4.750245781
0,5,Baseline,1,0,0,CCW,1.196559022,1.003871896,-1.003871896
0,5,Baseline,2,0,0,CCW,2.730516572,3.485953664,-3.485953664
0,5,Baseline,3,0,0,CCW,3.412425223,3.519506543,-3.519506543
0,5,Baseline,4,0,0,CCW,1.977959279,1.67957997,-1.67957997
0,5,Baseline,5,0,0,CCW,0.191910098,-0.072734351,0.072734351
