SUBJECT,TRIAL,TRIAL_ABS,ROTATION,SIG_MP,HA_INIT,HA_MID,HA_END
1,1,1,0.918475168,1,0.058997156,0.566301986,0.842021266
1,2,2,1.310016825,1,-0.262886158,0.258956155,0.708896913
1,3,3,1.232061727,1,0.074744206,0.106899873,0.973726403
1,4,4,1.388456543,3,0.252801769,-0.191618963,0.265023348
1,5,5,0.854757184,1,0.255080226,0.239021517,0.829738534
1,6,6,1.825954146,1,-0.057395992,-0.068472538,1.41779957
1,7,7,1.625344104,2,-0.101584847,0.554703566,0.580419032
1,8,8,1.782904123,1,0.12428266,0.046235371,1.543230603
1,9,9,1.1970499,4,0.24207973,-0.105504033,0.120649251
1,10,10,1.207292392,2,0.149058642,0.123780774,0.488472405
1,11,11,1.203565316,1,0.278961935,0.312476822,0.773797384
1,12,12,0.866538206,2,0.414816768,0.38853433,0.670902134
1,13,13,0.782093536,1,0.465781521,0.084992062,0.852801836
1,14,14,0.717656278,1,0.215429064,0.335306082,0.765959506
1,15,15,0.602914691,1,0.317786111,0.311099055,0.48706172
1,16,16,1.171061142,3,-0.00414588,0.386363121,0.346618285
1,17,17,1.310923603,2,0.147670561,0.398553984,0.759909394
1,18,18,0.585771818,1,0.271178683,0.231570524,0.598993699
1,19,19,1.625037687,1,0.175581751,0.288629649,1.147769908
1,20,20,1.291803737,1,0.307672176,0.25935698,1.024799245
1,21,21,0.819310261,1,0.299681003,0.236865398,0.703664588
1,22,22,0.977593732,3,0.253289679,0.621927206,0.478204545
1,23,23,0.472308736,1,0.451580419,0.56268738,0.485876856
1,24,24,0.370735376,1,0.090677097,0.247582663,0.241016381
1,25,25,0.956424011,3,0.429797562,0.478426443,0.419993893
1,26,26,1.025505417,3,0.378736432,0.427620627,0.518788006
1,27,27,0.728836719,1,0.031921749,0.453456898,0.404565833
1,28,28,2.378329164,1,0.371610512,0.740422803,1.762382462
1,29,29,1.12993697,1,-0.078142069,0.607957867,1.085134361
1,30,30,2.141128559,3,0.373290566,0.217882028,0.488943302
1,31,31,0.59288264,1,0.139863795,0.538500988,0.502988365
1,32,32,1.220416021,3,0.383853434,0.42620724,0.647440729
1,33,33,0.802494948,1,0.030163313,0.289321387,0.864950654
1,34,34,1.144882252,1,0.26427867,0.616545701,0.841418424
1,35,35,0.639525817,1,0.021794574,0.527480686,0.761881715
1,36,36,0.226903344,4,0.32262987,0.399270151,0.402072467
