GROUP,SUBJECT,PHASE,HAND,TRIAL,TRIAL_ABS,TARGET,ROT,SIG_MP,DIR,HA_INIT,HA_MID,HA_END
0,1,Baseline,RH,1,1,0,0,4,CCW,5.911760783,4.178442196,1.451001983
0,1,Baseline,RH,2,2,0,0,4,CCW,-1.87172986,-3.514438521,-6.070634474
0,1,Baseline,RH,3,3,0,0,4,CCW,-0.225343732,-1.788825279,-4.848127232
0,1,Baseline,RH,4,4,0,0,4,CCW,-0.259228922,-1.841951,-4.456309237
0,1,Baseline,RH,5,5,0,0,4,CCW,-1.813050039,-3.197632922,-6.269133023
0,1,Baseline,RH,6,6,0,0,4,CCW,2.506683445,0.977883085,-2.261335621
0,1,Baseline,RH,7,7,0,0,4,CCW,1.556540479,0.384273625,-2.81026785
0,1,Baseline,RH,8,8,0,0,4,CCW,-2.623164861,-3.971146861,-6.962860252
0,1,Baseline,RH,9,9,0,0,4,CCW,-2.654136194,-3.990377575,-7.462692811
0,1,Baseline,RH,10,10,0,0,4,CCW,7.40921885,5.805273072,2.646729697
0,2,Baseline,RH,1,1,0,0,4,CCW,-3.534037095,-5.031205083,-8.060237921
0,2,Baseline,RH,2,2,0,0,4,CCW,2.172906417,0.904012291,-1.901666218
0,2,Baseline,RH,3,3,0,0,4,CCW,3.163977596,1.665882579,-1.200667973
0,2,Baseline,RH,4,4,0,0,4,CCW,2.337656406,0.975618514,-2.23900576
0,2,Baseline,RH,5,5,0,0,4,CCW,4.080074758,2.713414589,-0.974998782
0,2,Baseline,RH,6,6,0,0,4,CCW,2.487929412,0.815099528,-1.259140914
0,2,Baseline,RH,7,7,0,0,4,CCW,-1.100311232,-2.622995119,-6.000343486
0,2,Baseline,RH,8,8,0,0,4,CCW,-3.219992582,-4.799665151,-7.932854219
0,2,Baseline,RH,9,9,0,0,4,CCW,-2.173738547,-3.850532525,-7.278639963
0,2,Baseline,RH,10,10,0,0,4,CCW,1.051157805,-0.484893734,-3.641787228
0,3,Baseline,RH,1,1,0,0,4,CCW,0.072590708,-1.537580196,-4.303208514
0,3,Baseline,RH,2,2,0,0,4,CCW,6.578063578,4.941470723,1.662268684
0,3,Baseline,RH,3,3,0,0,4,CCW,-3.05404758,-4.788169312,-7.51906879
0,3,Baseline,RH,4,4,0,0,4,CCW,-3.781491388,-5.376663505,-7.939360037
0,3,Baseline,RH,5,5,0,0,4,CCW,6.421926867,4.63948033,1.520523423
0,3,Baseline,RH,6,6,0,0,4,CCW,3.712413895,2.207892198,-0.834986974
0,3,Baseline,RH,7,7,0,0,4,CCW,-3.150605809,-4.641031927,-7.557365111
0,3,Baseline,RH,8,8,0,0,4,CCW,2.399998582,0.559731651,-2.021016397
0,3,Baseline,RH,9,9,0,0,4,CCW,1.585406516,0.187348859,-2.604540273
0,3,Baseline,RH,10,10,0,0,4,CCW,9.824050977,8.324621972,4.921316877
0,4,Baseline,RH,1,1,0,0,4,CCW,2.117117723,0.433144307,-1.781088851
0,4,Baseline,RH,2,2,0,0,4,CCW,5.315361645,3.785399898,0.570761662
0,4,Baseline,RH,3,3,0,0,4,CCW,3.54743753,1.766450841,-1.146252618
0,4,Baseline,RH,4,4,0,0,4,CCW,6.158800958,4.45197665,1.563055375
0,4,Baseline,RH,5,5,0,0,4,CCW,0.676143806,-0.882170252,-4.069456461
0,4,Baseline,RH,6,6,0,0,4,CCW,-7.687151012,-9.031611304,-11.57515288
0,4,Baseline,RH,7,7,0,0,4,CCW,3.510947765,1.897608545,-1.25112637
0,4,Baseline,RH,8,8,0,0,4,CCW,2.1175535,0.894077732,-2.194529321
0,4,Baseline,RH,9,9,0,0,4,CCW,0.015078156,-1.533816779,-4.752089673
0,4,Baseline,RH,10,10,0,0,4,CCW,3.918074364,2.256386603,0.250245781
0,5,Baseline,RH,1,1,0,0,4,CCW,1.196559022,-0.346049318,-3.496128104
0,5,Baseline,RH,2,2,0,0,4,CCW,2.730516572,1.054581139,-1.014046336
0,5,Baseline,RH,3,3,0,0,4,CCW,3.412425223,1.504649973,-0.980493457
0,5,Baseline,RH,4,4,0,0,4,CCW,1.977959279,0.293172789,-2.82042003
0,5,Baseline,RH,5,5,0,0,4,CCW,0.191910098,-1.361473391,-4.572734351
0,5,Baseline,RH,6,6,0,0,4,CCW,4.058374738,2.430042437,-0.276029945
0,5,Baseline,RH,7,7,0,0,4,CCW,1.399164795,-0.185932276,-3.31746727
0,5,Baseline,RH,8,8,0,0,4,CCW,1.65919163,0.422136331,-2.619074748
0,5,Baseline,RH,9,9,0,0,4,CCW,3.375296458,1.958578702,-1.079358177
0,5,Baseline,RH,10,10,0,0,4,CCW,-0.981836857,-2.726774422,-5.652533973
0,6,Baseline,RH,1,1,0,0,4,CCW,6.68447619,5.193193031,1.958336253
0,6,Baseline,RH,2,2,0,0,4,CCW,1.101432555,-0.5150521,-3.16876279
0,6,Baseline,RH,3,3,0,0,4,CCW,4.388983869,3.090283884,-0.032296637
0,6,Baseline,RH,4,4,0,0,4,CCW,1.54183611,0.028932762,-2.36269705
0,6,Baseline,RH,5,5,0,0,4,CCW,-1.343164072,-2.963222462,-5.793201015
0,6,Baseline,RH,6,6,0,0,4,CCW,0.490056011,-0.737640998,-3.910142563
0,6,Baseline,RH,7,7,0,0,4,CCW,7.64858162,6.079063094,2.661433191
0,6,Baseline,RH,8,8,0,0,4,CCW,4.602505312,3.138873956,0.059288204
0,6,Baseline,RH,9,9,0,0,4,CCW,3.869268794,2.557175747,-0.805442523
0,6,Baseline,RH,10,10,0,0,4,CCW,5.420543279,3.928049917,0.895930871
0,7,Baseline,RH,1,1,0,0,4,CCW,1.527797252,0.407058151,-3.051027365
0,7,Baseline,RH,2,2,0,0,4,CCW,2.788038568,1.713633922,-1.501794311
0,7,Baseline,RH,3,3,0,0,4,CCW,5.956964074,4.69234874,1.290760284
0,7,Baseline,RH,4,4,0,0,4,CCW,-8.642494785,-9.944388341,-13.00273013
0,7,Baseline,RH,5,5,0,0,4,CCW,1.772237395,0.50684386,-2.841065716
0,7,Baseline,RH,6,6,0,0,4,CCW,7.620588392,6.46567395,2.561508354
0,7,Baseline,RH,7,7,0,0,4,CCW,2.390906222,0.833260604,-2.312788785
0,7,Baseline,RH,8,8,0,0,4,CCW,4.0852362,2.904072944,-0.567201592
0,7,Baseline,RH,9,9,0,0,4,CCW,3.173599366,1.651555596,-1.05909922
0,7,Baseline,RH,10,10,0,0,4,CCW,5.696073071,4.038659736,0.72485262
0,8,Baseline,RH,1,1,0,0,4,CCW,-1.15594699,-2.655501633,-5.63435238
0,8,Baseline,RH,2,2,0,0,4,CCW,2.233866465,0.715244713,-1.984444938
0,8,Baseline,RH,3,3,0,0,4,CCW,1.6054303,0.181061711,-2.656849185
0,8,Baseline,RH,4,4,0,0,4,CCW,2.266789099,1.063324321,-2.595085846
0,8,Baseline,RH,5,5,0,0,4,CCW,2.226887679,0.735651396,-2.62728308
0,8,Baseline,RH,6,6,0,0,4,CCW,3.08747875,1.395313708,-1.799710345
0,8,Baseline,RH,7,7,0,0,4,CCW,4.409773569,2.562124582,0.226391683
0,8,Baseline,RH,8,8,0,0,4,CCW,7.430081279,6.016122527,3.177780714
0,8,Baseline,RH,9,9,0,0,4,CCW,0.437973229,-0.736562224,-3.958533892
0,8,Baseline,RH,10,10,0,0,4,CCW,3.660000996,2.126731498,-0.576027464
0,9,Baseline,RH,1,1,0,0,4,CCW,5.22132704,3.646073858,0.900812454
0,9,Baseline,RH,2,2,0,0,4,CCW,4.163031249,2.708421342,-0.047007423
0,9,Baseline,RH,3,3,0,0,4,CCW,0.341912751,-0.928304791,-3.96458596
0,9,Baseline,RH,4,4,0,0,4,CCW,1.578752577,-0.326113943,-2.959916187
0,9,Baseline,RH,5,5,0,0,4,CCW,-0.068044299,-1.096139597,-4.632464004
0,9,Baseline,RH,6,6,0,0,4,CCW,-0.991913137,-2.389918728,-4.840096904
0,9,Baseline,RH,7,7,0,0,4,CCW,-0.725179524,-1.960854406,-5.207901361
0,9,Baseline,RH,8,8,0,0,4,CCW,1.334403795,-0.038370555,-2.933559148
0,9,Baseline,RH,9,9,0,0,4,CCW,3.323497256,1.759926972,-1.213884249
0,9,Baseline,RH,10,10,0,0,4,CCW,-3.495574836,-5.023184431,-8.303858937
0,10,Baseline,RH,1,1,0,0,4,CCW,-2.218903948,-3.576756933,-6.846261307
