GROUP,SUBJECT,PHASE,HAND,TRIAL,TRIAL_ABS,ROT,SIG_MP,DIR,HA_INIT,HA_MID,HA_END
2,1,BASELINE,RH,1,1,0,4,CCW,3.223354878,-0.338318177,-1.946038879
2,1,BASELINE,RH,2,2,0,4,CCW,2.331359866,-1.097898893,-7.631523887
2,1,BASELINE,RH,3,3,0,4,CCW,0.448694453,2.455792987,-3.382795005
2,1,BASELINE,RH,4,4,0,4,CCW,2.451735923,1.117112431,-3.678809357
2,1,BASELINE,RH,5,5,0,4,CCW,3.536056837,-0.44213304,-1.756372768
2,1,BASELINE,RH,6,6,0,4,CCW,1.616806707,1.916396151,-0.994592243
2,1,BASELINE,RH,7,7,0,4,CCW,0.022635832,0.670562007,-6.501965401
2,1,BASELINE,RH,8,8,0,4,CCW,4.872041782,1.421979543,-3.771707396
2,1,BASELINE,RH,9,9,0,4,CCW,3.790898001,2.153611042,-0.33906308
2,1,BASELINE,RH,10,10,0,4,CCW,-0.542958955,0.909124035,-0.47282677
2,2,BASELINE,RH,1,1,0,4,CCW,4.204994651,-3.168812901,-1.633818708
2,2,BASELINE,RH,2,2,0,4,CCW,1.250357452,-0.692733064,-0.971682716
2,2,BASELINE,RH,3,3,0,4,CCW,4.128185322,-0.925193895,-2.723718947
2,2,BASELINE,RH,4,4,0,4,CCW,-0.827922144,-0.202729799,-1.974650518
2,2,BASELINE,RH,5,5,0,4,CCW,0.638633399,0.667347206,-5.851607003
2,2,BASELINE,RH,6,6,0,4,CCW,-2.920851909,1.55676903,-1.541790669
2,2,BASELINE,RH,7,7,0,4,CCW,4.790139348,2.613411431,2.196226066
2,2,BASELINE,RH,8,8,0,4,CCW,0.373827426,-1.367472143,-2.77389251
2,2,BASELINE,RH,9,9,0,4,CCW,1.848198677,-4.925779336,-2.01272914
2,2,BASELINE,RH,10,10,0,4,CCW,1.851113731,2.31231045,-1.246407521
2,3,BASELINE,RH,1,1,0,4,CCW,6.465969474,1.126005509,0.166287863
2,3,BASELINE,RH,2,2,0,4,CCW,4.124755005,0.578257441,-2.021563045
2,3,BASELINE,RH,3,3,0,4,CCW,-0.387123116,-0.227398937,-4.270013857
2,3,BASELINE,RH,4,4,0,4,CCW,4.988398298,-1.477668697,0.504923668
2,3,BASELINE,RH,5,5,0,4,CCW,2.746870679,-3.700704493,-1.081438919
2,3,BASELINE,RH,6,6,0,4,CCW,2.911080038,3.939589008,0.210106236
2,3,BASELINE,RH,7,7,0,4,CCW,0.301246279,0.628361066,-4.43726066
2,3,BASELINE,RH,8,8,0,4,CCW,0.640265717,2.880924358,-2.377583774
2,3,BASELINE,RH,9,9,0,4,CCW,1.471160771,1.019481146,-4.735172554
2,3,BASELINE,RH,10,10,0,4,CCW,1.946277832,0.142725425,-1.656337844
2,4,BASELINE,RH,1,1,0,4,CCW,4.300504848,-0.361761846,-2.582302767
2,4,BASELINE,RH,2,2,0,4,CCW,-0.065024803,2.934817143,-6.495115735
2,4,BASELINE,RH,3,3,0,4,CCW,2.443830706,-1.204522504,-3.91908345
2,4,BASELINE,RH,4,4,0,4,CCW,0.809961521,-3.126580115,-1.489166199
2,4,BASELINE,RH,5,5,0,4,CCW,1.910988869,1.201800689,-0.166241679
2,4,BASELINE,RH,6,6,0,4,CCW,3.144271313,-0.711839411,-5.1129962
2,4,BASELINE,RH,7,7,0,4,CCW,0.226524715,-0.2557892,-0.170153939
2,4,BASELINE,RH,8,8,0,4,CCW,4.018962752,-0.385016991,-3.730287758
2,4,BASELINE,RH,9,9,0,4,CCW,3.481704135,0.933117239,-4.252252693
2,4,BASELINE,RH,10,10,0,4,CCW,3.055074394,2.977397429,-3.115003757
2,5,BASELINE,RH,1,1,0,4,CCW,1.899326944,-0.981243101,-0.871512675
2,5,BASELINE,RH,2,2,0,4,CCW,2.688514441,2.954479674,-3.14275595
2,5,BASELINE,RH,3,3,0,4,CCW,3.808598606,-2.884930507,-4.028815262
2,5,BASELINE,RH,4,4,0,4,CCW,1.585490998,3.544380295,-1.537563023
2,5,BASELINE,RH,5,5,0,4,CCW,3.592578669,0.479038535,1.061686681
2,5,BASELINE,RH,6,6,0,4,CCW,4.925250876,0.60342994,-2.867562884
2,5,BASELINE,RH,7,7,0,4,CCW,5.655763215,0.194669957,-1.27088769
2,5,BASELINE,RH,8,8,0,4,CCW,3.397049666,2.788187273,-0.571777587
2,5,BASELINE,RH,9,9,0,4,CCW,4.551625847,3.026526314,-0.046660596
2,5,BASELINE,RH,10,10,0,4,CCW,4.280913915,-0.170421131,0.44423939
2,6,BASELINE,RH,1,1,0,4,CCW,2.244005334,2.064008017,-1.77921457
2,6,BASELINE,RH,2,2,0,4,CCW,0.680519912,5.086617798,-3.226047212
2,6,BASELINE,RH,3,3,0,4,CCW,4.157822918,0.076145189,-3.192660759
2,6,BASELINE,RH,4,4,0,4,CCW,-0.740198165,-1.674942552,-0.813604718
2,6,BASELINE,RH,5,5,0,4,CCW,-0.529396503,2.382310319,-2.603611155
2,6,BASELINE,RH,6,6,0,4,CCW,1.297870908,-0.475917966,1.181919268
2,6,BASELINE,RH,7,7,0,4,CCW,3.208939313,1.379569836,-2.940161919
2,6,BASELINE,RH,8,8,0,4,CCW,0.644503597,-0.428479784,3.398645475
2,6,BASELINE,RH,9,9,0,4,CCW,0.232703188,-0.928708504,1.124561984
2,6,BASELINE,RH,10,10,0,4,CCW,1.478175018,-0.629369206,-1.323721035
2,7,BASELINE,RH,1,1,0,4,CCW,-0.380701603,1.300111151,-1.466430578
2,7,BASELINE,RH,2,2,0,4,CCW,-1.610598664,-2.490605437,-2.213824119
2,7,BASELINE,RH,3,3,0,4,CCW,2.794949202,0.502891921,-0.442168729
2,7,BASELINE,RH,4,4,0,4,CCW,3.737442718,-0.218285934,-1.598027545
2,7,BASELINE,RH,5,5,0,4,CCW,-2.364004319,1.230349272,0.969539566
2,7,BASELINE,RH,6,6,0,4,CCW,-2.486106988,0.613824415,0.017439718
2,7,BASELINE,RH,7,7,0,4,CCW,0.750948178,-2.977651773,-5.560475157
2,7,BASELINE,RH,8,8,0,4,CCW,1.363978429,-0.53619316,-3.112644399
2,7,BASELINE,RH,9,9,0,4,CCW,1.19611207,-1.253499668,-2.724888283
2,7,BASELINE,RH,10,10,0,4,CCW,2.202299842,3.592802186,-0.605938647
2,8,BASELINE,RH,1,1,0,4,CCW,4.828730593,0.068583689,-5.424290902
2,8,BASELINE,RH,2,2,0,4,CCW,2.137988532,-0.585360749,-1.644311388
2,8,BASELINE,RH,3,3,0,4,CCW,-1.370391725,-1.764706181,-1.855494697
2,8,BASELINE,RH,4,4,0,4,CCW,0.194361858,-2.832409638,1.418796807
2,8,BASELINE,RH,5,5,0,4,CCW,2.187371425,1.490876245,-4.74337559
2,8,BASELINE,RH,6,6,0,4,CCW,-1.131352445,-1.960798287,-0.312777572
2,8,BASELINE,RH,7,7,0,4,CCW,1.698802366,0.998088454,0.518520937
2,8,BASELINE,RH,8,8,0,4,CCW,0.22785622,-0.358469116,-2.798753114
2,8,BASELINE,RH,9,9,0,4,CCW,2.70045679,1.644002971,-1.981898537
2,8,BASELINE,RH,10,10,0,4,CCW,-2.214185577,2.071597363,2.290181209
2,9,BASELINE,RH,1,1,0,4,CCW,-3.771446565,1.481858288,-1.597191351
2,9,BASELINE,RH,2,2,0,4,CCW,-0.65012267,3.993301398,-2.157852998
2,9,BASELINE,RH,3,3,0,4,CCW,-2.024355761,0.879816106,-5.021957359
2,9,BASELINE,RH,4,4,0,4,CCW,1.561816266,2.934441633,0.163436265
2,9,BASELINE,RH,5,5,0,4,CCW,2.247516941,2.197747712,-3.25086954
2,9,BASELINE,RH,6,6,0,4,CCW,0.781564716,5.565001721,-2.474516368
2,9,BASELINE,RH,7,7,0,4,CCW,1.368760991,2.12490638,-1.227560319
2,9,BASELINE,RH,8,8,0,4,CCW,-0.415624639,-1.607371895,-5.859221165
2,9,BASELINE,RH,9,9,0,4,CCW,-0.180156459,0.58678828,0.487698058
2,9,BASELINE,RH,10,10,0,4,CCW,2.355670232,2.278565012,-4.250264298
2,10,BASELINE,RH,1,1,0,4,CCW,2.053890866,1.368600007,2.458703779
2,10,BASELINE,RH,2,2,0,4,CCW,2.942384945,-0.544045719,-0.838836499
2,10,BASELINE,RH,3,3,0,4,CCW,0.325106363,-0.075009868,0.705408404
2,10,BASELINE,RH,4,4,0,4,CCW,5.8190137,1.431168533,-5.141672983
2,10,BASELINE,RH,5,5,0,4,CCW,-0.670125119,-0.79606104,1.162358417
2,10,BASELINE,RH,6,6,0,4,CCW,-0.423591169,-0.967548559,-2.050475093
2,10,BASELINE,RH,7,7,0,4,CCW,-2.884124823,-0.132969602,3.440380421
2,10,BASELINE,RH,8,8,0,4,CCW,4.720528856,1.905599735,-2.578708187
2,10,BASELINE,RH,9,9,0,4,CCW,1.513359331,3.177518671,-3.839511957
2,10,BASELINE,RH,10,10,0,4,CCW,3.361237614,0.876657649,-1.443277652
2,11,BASELINE,RH,1,1,0,4,CCW,2.323858201,2.118721526,-4.018275987
2,11,BASELINE,RH,2,2,0,4,CCW,2.952278157,-0.385713259,-5.720554552
2,11,BASELINE,RH,3,3,0,4,CCW,0.279299,2.367853517,-3.621552594
2,11,BASELINE,RH,4,4,0,4,CCW,2.921653289,-1.152918148,2.333810028
2,11,BASELINE,RH,5,5,0,4,CCW,4.097845489,3.768359399,-0.696558204
2,11,BASELINE,RH,6,6,0,4,CCW,3.482089412,3.850834277,-3.079391083
2,11,BASELINE,RH,7,7,0,4,CCW,1.26224074,0.512763802,-1.194461869
2,11,BASELINE,RH,8,8,0,4,CCW,0.585285947,0.950988755,-2.221997409
2,11,BASELINE,RH,9,9,0,4,CCW,2.634120244,1.179340134,2.440924564
2,11,BASELINE,RH,10,10,0,4,CCW,-1.069218316,1.77614949,-4.203510879
